Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Tipo Agregado
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2611.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2436.0;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2738.0;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;2700.0;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9563.0;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1547.0;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;6200.0;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;3240.0;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;12850.0;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7700.0;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5520.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;3035.0;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;11600.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6950.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;3020.0;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2725.0;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;2007.0;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;9234.0;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4722.0;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7644.0;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;10400.0;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;11300.0;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4735.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;4370.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;6042.0;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;4090.0;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;9170.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;4188.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;2713.0;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;2984.0;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;3650.0;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;27162.0;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;3498.0;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;5665.0;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;8775.0;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;4610.0;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;12127.0;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;5911.0;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;7700.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;4708.0;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;8420.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;2272.0;Apartamento
